  STN,YYYYMMDD,   TG,   TN,   TX,   SQ,   SP,  DR,   RH,  RHX
  260,19890701,  157,  137,  185,    0,    0,  38,   81,   29
  260,19890702,  155,  142,  181,   -1,    0,  17,    7,    4
  260,19890703,  181,  121,  234,  142,   85,   0,    0,    0
  260,19890704,  191,  117,  244,  143,   86,   0,    0,    0
  260,19890705,  223,  159,  288,  128,   77,   0,    0,    0
  260,19890706,  252,  168,  315,  115,   69,   0,    0,    0
  260,19890707,  239,  171,  291,   98,   59,   3,    1,    1
  260,19890708,  200,  147,  265,   41,   25,   7,   45,   45
  260,19890709,  179,  150,  220,    9,    5,  11,   43,   29
  260,19890710,  159,  111,  201,   49,   30,   0,    0,    0
  260,19890711,  170,  113,  232,   55,   33,   0,    0,    0
  260,19890712,  168,   97,  229,   80,   49,   0,    0,    0
  260,19890713,  159,  114,  207,   63,   38,   0,   -1,   -1
  260,19890714,  143,   97,  186,   69,   42,   0,   -1,   -1
  260,19890715,  162,   94,  226,   75,   46,   0,   -1,   -1
  260,19890716,  152,   91,  210,   68,   42,   0,   -1,   -1
  260,19890717,  148,   76,  187,    1,    1,   0,   -1,   -1
  260,19890718,  152,  129,  195,   37,   23,   1,    1,    1
  260,19890719,  155,  100,  209,  119,   74,   0,    0,    0
  260,19890720,  178,   78,  248,  141,   88,   0,    0,    0
  260,19890721,  206,  128,  272,  121,   75,   0,    0,    0
  260,19890722,  244,  170,  322,   89,   56,   0,   -1,   -1
  260,19890723,  212,  165,  279,   48,   30,   8,   12,    9
  260,19890724,  202,  148,  260,  125,   78,   0,   -1,   -1
  260,19890725,  186,  150,  230,    2,    1,   1,    1,    1
  260,19890726,  189,  122,  263,   43,   27,   0,    0,    0
  260,19890727,  177,  115,  241,  111,   70,   0,    0,    0
  260,19890728,  180,  108,  246,   67,   43,   0,    0,    0
  260,19890729,  194,  127,  259,   47,   30,   0,    0,    0
  260,19890730,  162,  144,  188,    1,    1,  48,  100,   31
  260,19890731,  141,  108,  184,   56,   36,  26,   54,   15
  350,19890701,  156,  126,  176,    0,    0,  63,   88,   29
  350,19890702,  153,  134,  181,    0,    0,   8,    2,    1
  350,19890703,  177,  119,  237,  123,   74,   0,    0,    0
  350,19890704,  187,  116,  238,  132,   80,   0,    0,    0
  350,19890705,  231,  163,  290,  127,   77,   0,    0,    0
  350,19890706,  253,  176,  315,  118,   72,   0,    0,    0
  350,19890707,  231,  174,  281,   87,   53,  11,    5,    3
  350,19890708,  198,  147,  250,   40,   24,   0,   -1,   -1
  350,19890709,  187,  152,  232,   32,   20,   0,   -1,   -1
  350,19890710,  162,  111,  215,   57,   35,   0,   -1,   -1
  350,19890711,  171,  102,  234,   69,   42,   0,    0,    0
  350,19890712,  179,  116,  242,  108,   66,   0,    0,    0
  350,19890713,  157,   95,  222,   83,   51,   0,    0,    0
  350,19890714,  142,   87,  193,   81,   50,   0,   -1,   -1
  350,19890715,  162,   81,  233,   97,   60,   0,    0,    0
  350,19890716,  157,   92,  207,   59,   36,   0,    0,    0
  350,19890717,  163,   82,  226,   27,   17,   0,   -1,   -1
  350,19890718,  159,  126,  198,   81,   50,   4,    1,    1
  350,19890719,  162,  117,  217,  117,   73,   0,    0,    0
  350,19890720,  184,   87,  257,  137,   85,   0,    0,    0
  350,19890721,  211,  122,  277,  117,   73,   0,    0,    0
  350,19890722,  255,  177,  325,  112,   70,   0,    0,    0
  350,19890723,  229,  190,  285,   44,   28,  41,   99,   78
  350,19890724,  214,  156,  276,  108,   68,   0,    0,    0
  350,19890725,  182,  145,  213,    0,    0,   0,   -1,   -1
  350,19890726,  195,  132,  262,   45,   29,   0,    0,    0
  350,19890727,  181,  119,  246,  107,   68,   0,    0,    0
  350,19890728,  183,  112,  251,   54,   34,   0,    0,    0
  350,19890729,  195,  112,  265,   77,   49,   0,    0,    0
  350,19890730,  161,  146,  179,    7,    4,  53,   50,   19
  350,19890731,  147,  106,  184,   52,   34,  41,  115,   45
